Œﬂ≤›ƒñºèÃ,TD(m),Çwç¿ïW(m),Çxç¿ïW(m),çÇÇ≥(m),ï˚à (deg),ÀﬂØ¡›∏ﬁ(deg)
652+5.000       ,277,-102179.0064,-10528.94661,56.79,247.2224018,0.859372244
652+4.000       ,278,-102179.3936,-10529.86858,56.805,247.2109427,0.859372244
652+3.000       ,279,-102179.7811,-10530.79048,56.82,247.1994835,0.859372244
652+2.000       ,280,-102180.1687,-10531.7123,56.835,247.1880244,0.859372244
652+1.000       ,281,-102180.5565,-10532.63405,56.85,247.1765652,0.859372244
652+0.000       ,282,-102180.9445,-10533.55571,56.865,247.1651061,0.859372244
651+99.000      ,283,-102181.3326,-10534.4773,56.88,247.1536469,0.859372244
651+98.000      ,284,-102181.721,-10535.39881,56.895,247.1421878,0.859372244
651+97.000      ,285,-102182.1095,-10536.32024,56.91,247.1307286,0.859372244
651+96.000      ,286,-102182.4982,-10537.2416,56.925,247.1192694,0.859372244
651+95.000      ,287,-102182.8871,-10538.16288,56.94,247.1078103,0.859372244
651+94.000      ,288,-102183.2762,-10539.08407,56.955,247.0963511,0.859372244
651+93.000      ,289,-102183.6655,-10540.0052,56.97,247.084892,0.859372244
651+92.000      ,290,-102184.055,-10540.92624,56.985,247.0734328,0.859372244
651+91.000      ,291,-102184.4446,-10541.84721,57,247.0619737,0.859372244
651+90.000      ,292,-102184.8344,-10542.76809,57.015,247.0505145,0.859372244
651+89.000      ,293,-102185.2245,-10543.6889,57.03,247.0390553,0.859372244
651+88.000      ,294,-102185.6147,-10544.60964,57.045,247.0275962,0.859372244
651+87.000      ,295,-102186.005,-10545.53029,57.06,247.016137,0.859372244
651+86.000      ,296,-102186.3956,-10546.45087,57.075,247.0046779,0.859372244
651+85.000      ,297,-102186.7863,-10547.37136,57.09,246.9932187,0.859372244
651+84.000      ,298,-102187.1773,-10548.29178,57.105,246.9817596,0.859372244
651+83.000      ,299,-102187.5684,-10549.21212,57.12,246.9703004,0.859372244
651+82.000      ,300,-102187.9597,-10550.13239,57.135,246.9588413,0.859372244
651+81.000      ,301,-102188.3512,-10551.05257,57.15,246.9473821,0.859372244
651+80.000      ,302,-102188.7428,-10551.97268,57.165,246.9359229,0.859372244
651+79.000      ,303,-102189.1347,-10552.89271,57.18,246.9244638,0.859372244
651+78.000      ,304,-102189.5267,-10553.81266,57.195,246.9130046,0.859372244
651+77.000      ,305,-102189.919,-10554.73253,57.21,246.9015455,0.859372244
651+76.000      ,306,-102190.3114,-10555.65232,57.225,246.8900863,0.859372244
651+75.000      ,307,-102190.7039,-10556.57204,57.24,246.8786272,0.859372244
651+74.000      ,308,-102191.0967,-10557.49167,57.255,246.867168,0.859372244
651+73.000      ,309,-102191.4897,-10558.41123,57.27,246.8557089,0.859372244
651+72.000      ,310,-102191.8828,-10559.33071,57.285,246.8442497,0.859372244
651+71.000      ,311,-102192.2761,-10560.25011,57.3,246.8327905,0.859372244
651+70.000      ,312,-102192.6696,-10561.16943,57.315,246.8213314,0.859372244
651+69.000      ,313,-102193.0633,-10562.08867,57.33,246.8098722,0.859372244
651+68.000      ,314,-102193.4572,-10563.00783,57.345,246.7984131,0.859372244
651+67.000      ,315,-102193.8513,-10563.92692,57.36,246.7869539,0.859372244
651+66.000      ,316,-102194.2455,-10564.84593,57.375,246.7754948,0.859372244
651+65.000      ,317,-102194.6399,-10565.76485,57.39,246.7640356,0.859372244
651+64.000      ,318,-102195.0346,-10566.6837,57.405,246.7525765,0.859372244
651+63.000      ,319,-102195.4293,-10567.60247,57.42,246.7411173,0.859372244
651+62.000      ,320,-102195.8243,-10568.52116,57.435,246.7296581,0.859372244
651+61.000      ,321,-102196.2195,-10569.43977,57.45,246.718199,0.859372244
651+60.000      ,322,-102196.6148,-10570.35831,57.465,246.7067398,0.859372244
651+59.000      ,323,-102197.0104,-10571.27676,57.48,246.6952807,0.859372244
651+58.000      ,324,-102197.4061,-10572.19513,57.495,246.6838215,0.859372244
651+57.000      ,325,-102197.802,-10573.11343,57.51,246.6723624,0.859372244
651+56.000      ,326,-102198.1981,-10574.03164,57.525,246.6609032,0.859372244
651+55.000      ,327,-102198.5943,-10574.94978,57.54,246.649444,0.859372244
651+54.000      ,328,-102198.9908,-10575.86784,57.555,246.6379849,0.859372244
651+53.000      ,329,-102199.3874,-10576.78582,57.57,246.6265257,0.859372244
651+52.000      ,330,-102199.7842,-10577.70371,57.585,246.6150666,0.859372244
651+51.000      ,331,-102200.1812,-10578.62153,57.6,246.6036074,0.859372244
651+50.000      ,332,-102200.5784,-10579.53927,57.615,246.5921483,0.859372244
