,計測日時,ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,切羽からの距離,計測経過日数,沈下量,支保寸法,吹付厚,ﾛｯｸﾎﾞﾙﾄ数,ﾛｯｸﾎﾞﾙﾄ長,覆工厚,土被り高さ,岩石グループ,岩石名コード,加重平均評価点,補助工法の緒元,増し支保工の緒元,計測条件・状態等,インバートの早期障害,支保工種,支保パターン2,圧縮強度,風化変質,割目間隔,割目状態,割目の方向・平行,湧水量,劣化,評価点,最終沈下量との差分,position_id,補助工法の緒元_bit,増し支保工の緒元_bit,計測条件・状態等_bit,インバートの早期障害_bit,支保工種_numeric,支保パターン2_numeric,pred,mode
2899,2007-11-24,726.0,820.0,STA 646+62,820.656,830.225,9.566000000000031,2,-2.2,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-2.3,2,1,0,0,0,-1,-1,-3.1755000000000035,train
2900,2007-11-26,726.0,820.0,STA 646+62,820.656,833.735,13.076000000000022,4,-2.0,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-2.5,2,1,0,0,0,-1,-1,-1.983,train
2901,2007-11-27,726.0,820.0,STA 646+62,820.656,842.692,22.033000000000015,5,-2.9,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-1.6,2,1,0,0,0,-1,-1,-1.4894999999999985,train
2902,2007-11-28,726.0,820.0,STA 646+62,820.656,845.996,25.33699999999999,6,-2.8,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-1.7000000000000002,2,1,0,0,0,-1,-1,-1.8984999999999987,train
2903,2007-11-29,726.0,820.0,STA 646+62,820.657,851.867,31.20799999999997,7,-4.7,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,0.20000000000000018,2,1,0,0,0,-1,-1,-0.2590000000000005,train
2904,2007-11-30,726.0,820.0,STA 646+62,820.658,857.6,36.94100000000003,8,-4.9,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,0.40000000000000036,2,1,0,0,0,-1,-1,0.029000000000000227,train
2905,2007-12-03,726.0,820.0,STA 646+62,820.656,858.783,38.124000000000024,11,-5.2,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,0.7000000000000002,2,1,0,0,0,-1,-1,-0.04399999999999995,train
2906,2007-12-06,726.0,820.0,STA 646+62,820.656,875.692,55.033000000000015,14,-5.5,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,1.0,2,1,0,0,0,-1,-1,0.588,train
2907,2007-12-10,726.0,820.0,STA 646+62,820.657,888.879,68.22000000000003,18,-4.9,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,0.40000000000000036,2,1,0,0,0,-1,-1,-0.016999999999999727,train
2908,2007-12-17,726.0,820.0,STA 646+62,820.656,904.4,83.74099999999999,25,-4.5,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,0.0,2,1,0,0,0,-1,-1,-0.06499999999999999,train
2909,2007-11-27,743.0,842.0,STA 646+40,840.996,842.692,1.6960000000000264,0,0.0,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-6.1,2,1,0,0,0,-1,-1,-9.598000000000013,train
