"Œﬂ≤›ƒñºèÃ","ãóó£(m)","Çwç¿ïW(m)","Çxç¿ïW(m)","çÇÇ≥(m)","ï˚à (deg)","ÀﬂØ¡›∏ﬁ(deg)"
"5627+8.000      ",194,-173787.638169108,-1312.38897345802,29.4277879519123,308.037694474012,1.52370843111758
"5627+7.000      ",195,-173787.02198934,-1313.17657900195,29.4543879519123,308.037694474012,1.52370843111758
"5627+6.000      ",196,-173786.405809571,-1313.96418454587,29.4809879519123,308.037694474012,1.52370843111758
"5627+5.000      ",197,-173785.789629802,-1314.75179008979,29.5075879519123,308.037694474012,1.52370843111758
"5627+4.000      ",198,-173785.173450034,-1315.53939563371,29.5341879519123,308.037694474012,1.52370843111758
"5627+3.000      ",199,-173784.557270265,-1316.32700117764,29.5607879519123,308.037694474012,1.52370843111758
"5627+2.000      ",200,-173783.941090497,-1317.11460672156,29.5873879519123,308.037694474012,1.52370843111758
"5627+1.000      ",201,-173783.324910728,-1317.90221226548,29.6139879519123,308.037694474012,1.52370843111758
"5627+0.000      ",202,-173782.70873096,-1318.68981780941,29.6405879519123,308.037694474012,1.52370843111758
"5626+9.000      ",203,-173782.092551191,-1319.47742335333,29.6671879519123,308.037694474012,1.52370843111758
"5626+8.000      ",204,-173781.476371423,-1320.26502889725,29.6937879519123,308.037694474012,1.52370843111758
"5626+7.000      ",205,-173780.860191654,-1321.05263444117,29.7203879519123,308.037694474012,1.52370843111758
"5626+6.000      ",206,-173780.244011885,-1321.8402399851,29.7469879519123,308.037694474012,1.52370843111758
"5626+5.000      ",207,-173779.627832117,-1322.62784552902,29.7735879519123,308.037694474012,1.52370843111758
"5626+4.000      ",208,-173779.011652348,-1323.41545107294,29.8001879519123,308.037694474012,1.52370843111758
"5626+3.000      ",209,-173778.39547258,-1324.20305661686,29.8267879519123,308.037694474012,1.52370843111758
"5626+2.000      ",210,-173777.779292811,-1324.99066216079,29.8533879519123,308.037694474012,1.52370843111758
"5626+1.000      ",211,-173777.163113043,-1325.77826770471,29.8799879519123,308.037694474012,1.52370843111758
"5626+0.000      ",212,-173776.546933274,-1326.56587324863,29.9065879519123,308.037694474012,1.52370843111758
"5625+9.000      ",213,-173775.930753505,-1327.35347879255,29.9331879519123,308.037694474012,1.52370843111758
"5625+8.000      ",214,-173775.314573737,-1328.14108433648,29.9597879519123,308.037694474012,1.52370843111758
"5625+7.000      ",215,-173774.698393968,-1328.9286898804,29.9863879519123,308.037694474012,1.52370843111758
"5625+6.000      ",216,-173774.0822142,-1329.71629542432,30.0129879519123,308.037694474012,1.52370843111758
"5625+5.000      ",217,-173773.466034431,-1330.50390096825,30.0395879519123,308.037694474012,1.52370843111758
"5625+4.000      ",218,-173772.849854663,-1331.29150651217,30.0661879519123,308.037694474012,1.52370843111758
"5625+3.000      ",219,-173772.233674894,-1332.07911205609,30.0927879519123,308.037694474012,1.52370843111758
"5625+2.000      ",220,-173771.617495126,-1332.86671760001,30.1193879519123,308.037694474012,1.52370843111758
"5625+1.000      ",221,-173771.001315357,-1333.65432314394,30.1459879519123,308.037694474012,1.52370843111758
"5625+0.000      ",222,-173770.385135588,-1334.44192868786,30.1725879519123,308.037694474012,1.52370843111758
"5624+9.000      ",223,-173769.76895582,-1335.22953423178,30.1991879519123,308.037694474012,1.52370843111758
"5624+8.000      ",224,-173769.152776051,-1336.0171397757,30.2257879519123,308.037694474012,1.52370843111758
"5624+7.000      ",225,-173768.536596283,-1336.80474531963,30.2523879519123,308.037694474012,1.52370843111758
"5624+6.000      ",226,-173767.920416514,-1337.59235086355,30.2789879519123,308.037694474012,1.52370843111758
"5624+5.000      ",227,-173767.304236746,-1338.37995640747,30.3055879519123,308.037694474012,1.52370843111758
"5624+4.000      ",228,-173766.688056977,-1339.16756195139,30.3321879519123,308.037694474012,1.52370843111758
"5624+3.000      ",229,-173766.071877209,-1339.95516749532,30.3587879519123,308.037694474012,1.52370843111758
"5624+2.000      ",230,-173765.45569744,-1340.74277303924,30.3853879519123,308.037694474012,1.52370843111758
"5624+1.000      ",231,-173764.839517671,-1341.53037858316,30.4119879519123,308.037694474012,1.52370843111758
"5624+0.000      ",232,-173764.223337903,-1342.31798412709,30.4385879519123,308.037694474012,1.52370843111758
"5623+9.000      ",233,-173763.607158134,-1343.10558967101,30.4651879519123,308.037694474012,1.52370843111758
"5623+8.000      ",234,-173762.990978366,-1343.89319521493,30.4917879519123,308.037694474012,1.52370843111758
"5623+7.000      ",235,-173762.374798597,-1344.68080075885,30.5183879519123,308.037694474012,1.52370843111758
"5623+6.000      ",236,-173761.758618829,-1345.46840630278,30.5449879519123,308.037694474012,1.52370843111758
"5623+5.000      ",237,-173761.14243906,-1346.2560118467,30.5715879519123,308.037694474012,1.52370843111758
"5623+4.000      ",238,-173760.526259291,-1347.04361739062,30.5981879519123,308.037694474012,1.52370843111758
"5623+3.000      ",239,-173759.910079523,-1347.83122293454,30.6247879519123,308.037694474012,1.52370843111758
"5623+2.000      ",240,-173759.293899754,-1348.61882847847,30.6513879519123,308.037694474012,1.52370843111758
"5623+1.000      ",241,-173758.677719986,-1349.40643402239,30.6779879519123,308.037694474012,1.52370843111758
"5623+0.000      ",242,-173758.061540217,-1350.19403956631,30.7045879519123,308.037694474012,1.52370843111758
"5622+9.000      ",243,-173757.445360449,-1350.98164511023,30.7311879519123,308.037694474012,1.52370843111758
"5622+8.000      ",244,-173756.82918068,-1351.76925065416,30.7577879519123,308.037694474012,1.52370843111758
"5622+7.000      ",245,-173756.213000912,-1352.55685619808,30.7843879519123,308.037694474012,1.52370843111758
"5622+6.000      ",246,-173755.596821143,-1353.344461742,30.8109879519123,308.037694474012,1.52370843111758
"5622+5.000      ",247,-173754.980641374,-1354.13206728592,30.8375879519123,308.037694474012,1.52370843111758
"5622+4.000      ",248,-173754.364461606,-1354.91967282985,30.8641879519123,308.037694474012,1.52370843111758
"5622+3.000      ",249,-173753.748281837,-1355.70727837377,30.8907879519123,308.037694474012,1.52370843111758
"5622+2.000      ",250,-173753.132102069,-1356.49488391769,30.9173879519123,308.037694474012,1.52370843111758
"5622+1.000      ",251,-173752.5159223,-1357.28248946162,30.9439879519123,308.037694474012,1.52370843111758
"5622+0.000      ",252,-173751.899742532,-1358.07009500554,30.9705879519123,308.037694474012,1.52370843111758
"5621+9.000      ",253,-173751.283562763,-1358.85770054946,30.9971879519123,308.037694474012,1.52370843111758
"5621+8.000      ",254,-173750.667382995,-1359.64530609338,31.0237879519123,308.037694474012,1.52370843111758
"5621+7.000      ",255,-173750.051203226,-1360.43291163731,31.0503879519123,308.037694474012,1.52370843111758
"5621+6.000      ",256,-173749.435023457,-1361.22051718123,31.0769879519123,308.037694474012,1.52370843111758
"5621+5.000      ",257,-173748.818843689,-1362.00812272515,31.1035879519123,308.037694474012,1.52370843111758
"5621+4.000      ",258,-173748.20266392,-1362.79572826907,31.1301879519123,308.037694474012,1.52370843111758
